product_name,category,price,discounted_price,rating,rating_count,review_title,reviewer_name,verified_purchase,review_date
Coffee Maker Drip,Home & Kitchen,26.58,21.03,4,40,Exceeded expectations,Steve M.,Yes,2023-09-09
Mechanical Keyboard RGB,Electronics,190.18,161.95,5,156,Worth every penny,Steve G.,Yes,2024-10-01
Yoga Pants Flex,Clothing,37.67,35.88,5,412,Worth every penny,Charlie X.,No,2024-01-04
Wireless Earbuds Pro,Electronics,74.46,74.46,5,263,Highly recommend,Karen Z.,Yes,2022-05-30
Toaster Oven Digital,Home & Kitchen,73.56,54.22,3,328,Average quality,Paul F.,Yes,2023-10-13
Knife Set Premium,Home & Kitchen,69.93,68.7,3,215,Average quality,Paul W.,Yes,2024-12-12
Makeup Brush Set,Beauty,31.04,27.06,2,235,Disappointed,Steve D.,Yes,2023-03-27
Smart Watch X200,Electronics,71.63,71.63,5,378,Highly recommend,Tina U.,Yes,2023-01-12
Sports Socks Pack,Clothing,20.59,20.59,5,57,Exceeded expectations,Jack B.,Yes,2024-12-02
Smart Watch X200,Electronics,185.22,185.22,5,134,Great product!,Steve M.,Yes,2022-05-20
USB-C Hub 7-in-1,Electronics,91.84,80.31,1,50,Would not recommend,Charlie Y.,Yes,2024-10-31
Python for Beginners,Books,25.83,25.35,5,879,Love it!,Bob Y.,Yes,2022-11-23
Wireless Earbuds Pro,Electronics,87.35,83.28,5,576,Amazing quality,Karen L.,No,2024-05-01
Mechanical Keyboard RGB,Electronics,53.61,53.61,4,8,Love it!,Nick N.,Yes,2024-04-06
Non-Stick Pan Set,Home & Kitchen,30.77,30.77,3,244,Good for the price,Diana Y.,Yes,2022-07-08
Machine Learning Guide,Books,35.11,33.16,3,518,Average quality,Hank X.,Yes,2023-12-17
USB-C Hub 7-in-1,Electronics,114.09,84.65,4,39,Love it!,Tina A.,Yes,2023-03-30
Data Science Handbook,Books,10.14,10.14,5,167,Exceeded expectations,Mia B.,No,2023-03-13
Dumbbell Set Adjustable,Sports,84.44,61.77,4,494,Amazing quality,Jack Q.,Yes,2023-11-11
USB-C Hub 7-in-1,Electronics,22.32,16.91,4,6,Great product!,Bob K.,Yes,2023-11-10
Dumbbell Set Adjustable,Sports,30.06,25.14,5,239,Highly recommend,Rachel S.,No,2024-01-09
Blender High Speed,Home & Kitchen,115.15,115.15,3,70,Good for the price,Eve K.,Yes,2023-08-25
Running Jacket Lite,Clothing,25.19,20.75,4,516,Exceeded expectations,Quinn W.,No,2023-03-24
Wireless Earbuds Pro,Electronics,176.34,176.34,4,708,Exceeded expectations,Hank E.,Yes,2024-12-22
Stuffed Animal Bear,Toys,34.26,25.32,4,577,Worth every penny,Bob V.,Yes,2024-08-30
Running Jacket Lite,Clothing,24.83,24.83,5,128,Amazing quality,Mia O.,Yes,2022-01-19
Bluetooth Speaker Mini,Electronics,192.98,192.98,3,396,Good for the price,Tina S.,Yes,2022-08-23
Laptop Stand Adjustable,Electronics,153.66,126.13,5,372,Worth every penny,Quinn C.,No,2023-12-10
Jump Rope Speed,Sports,111.41,104.02,5,76,Exceeded expectations,Hank N.,Yes,2024-07-01
Coffee Maker Drip,Home & Kitchen,98.57,86.28,2,353,Disappointed,Jack Z.,Yes,2023-05-08
Yoga Mat Extra Thick,Sports,52.42,52.37,5,7,Best purchase ever,Mia E.,Yes,2023-05-15
Instant Pot 6Qt,Home & Kitchen,92.26,90.82,3,181,As described,Eve K.,Yes,2022-03-23
Python for Beginners,Books,21.17,17.47,2,52,Disappointed,Charlie P.,Yes,2023-10-20
Tire Pressure Gauge,Automotive,120.77,120.77,5,25,Highly recommend,Steve X.,No,2024-02-21
Casual Hoodie,Clothing,29.3,24.77,5,16,Great product!,Bob R.,Yes,2022-08-21
Deep Work,Books,36.74,36.39,5,238,Very satisfied,Mia I.,Yes,2024-03-01
Yoga Mat Extra Thick,Sports,20.03,17.2,4,83,Best purchase ever,Charlie M.,Yes,2023-06-10
Instant Pot 6Qt,Home & Kitchen,81.52,68.2,2,258,Disappointed,Quinn N.,Yes,2023-08-03
Lip Balm Natural,Beauty,55.78,55.78,5,13,Worth every penny,Eve Y.,Yes,2022-02-20
Python for Beginners,Books,18.01,18.01,4,75,Highly recommend,Eve P.,Yes,2024-11-24
Instant Pot 6Qt,Home & Kitchen,93.13,90.94,3,155,Decent product,Rachel G.,No,2024-02-07
Webcam 1080p HD,Electronics,152.13,152.13,4,312,Great product!,Paul M.,Yes,2024-11-19
Smart Watch X200,Electronics,64.23,47.09,1,76,Would not recommend,Steve G.,Yes,2024-11-07
Slim Fit Jeans,Clothing,51.03,51.03,5,196,Highly recommend,Rachel T.,Yes,2024-07-01
Power Bank 20000mAh,Electronics,69.61,69.61,4,434,Amazing quality,Quinn H.,No,2024-09-23
Power Bank 20000mAh,Electronics,76.52,56.27,5,191,Great product!,Hank C.,Yes,2022-03-31
Mechanical Keyboard RGB,Electronics,120.41,120.41,4,53,Highly recommend,Iris Y.,Yes,2023-08-31
Slim Fit Jeans,Clothing,45.94,45.94,5,4,Amazing quality,Nick K.,Yes,2023-01-30
Water Filter Pitcher,Home & Kitchen,143.14,143.14,5,408,Great product!,Steve C.,Yes,2023-10-19
Casual Hoodie,Clothing,28.5,28.5,3,4,Decent product,Diana V.,Yes,2024-11-18
Cotton T-Shirt Classic,Clothing,78.65,78.65,5,415,Highly recommend,Nick N.,Yes,2022-06-18
Laptop Stand Adjustable,Electronics,152.31,125.89,5,150,Worth every penny,Leo L.,Yes,2022-07-16
Sports Socks Pack,Clothing,22.27,17.63,5,559,Worth every penny,Grace K.,Yes,2022-12-09
LEGO City Set,Toys,24.53,24.53,5,320,Exceeded expectations,Leo T.,No,2024-12-28
Air Fryer 5L,Home & Kitchen,91.05,91.05,5,1236,Love it!,Alice Y.,Yes,2022-01-16
Water Filter Pitcher,Home & Kitchen,140.19,98.22,5,86,Great product!,Jack F.,Yes,2022-05-15
Webcam 1080p HD,Electronics,198.21,142.76,2,291,Disappointed,Leo T.,Yes,2023-03-08
Toaster Oven Digital,Home & Kitchen,88.11,88.11,3,102,Good for the price,Olivia T.,Yes,2023-03-13
Smart Watch X200,Electronics,190.85,151.33,2,130,Not as advertised,Eve O.,Yes,2024-05-18
Sports Socks Pack,Clothing,13.4,10.74,4,197,Amazing quality,Bob H.,Yes,2022-08-01
